10001,deoxys-attack,386,17,608,270,515,0
10002,deoxys-defense,386,17,608,270,516,0
10003,deoxys-speed,386,17,608,270,517,0
10004,wormadam-sandy,413,5,65,148,543,0
10005,wormadam-trash,413,5,65,148,544,0
10006,shaymin-sky,492,4,52,270,607,0
10007,giratina-origin,487,69,6500,340,601,0
10008,rotom-heat,479,3,3,182,588,0
10009,rotom-wash,479,3,3,182,589,0
10010,rotom-frost,479,3,3,182,590,0
10011,rotom-fan,479,3,3,182,591,0
10012,rotom-mow,479,3,3,182,592,0
10013,castform-sunny,351,3,8,147,465,0
10014,castform-rainy,351,3,8,147,466,0
10015,castform-snowy,351,3,8,147,467,0
10016,basculin-blue-striped,550,10,180,161,667,0
10017,darmanitan-zen,555,13,929,189,674,0
10018,meloetta-pirouette,648,6,65,270,778,0
10019,tornadus-therian,641,14,630,290,765,0
10020,thundurus-therian,642,30,610,290,767,0
10021,landorus-therian,645,13,680,300,771,0
10022,kyurem-black,646,33,3250,350,774,0
10023,kyurem-white,646,36,3250,350,773,0
10024,keldeo-resolute,647,14,485,290,776,0
10025,meowstic-female,678,6,85,163,812,0
10026,aegislash-blade,681,17,530,250,816,0
10027,pumpkaboo-small,710,3,35,67,845,0
10028,pumpkaboo-large,710,5,75,67,846,0
10029,pumpkaboo-super,710,8,150,67,847,0
10030,gourgeist-small,711,7,95,173,849,0
10031,gourgeist-large,711,11,140,173,850,0
10032,gourgeist-super,711,17,390,173,851,0
10033,venusaur-mega,3,24,1555,281,4,0
10034,charizard-mega-x,6,17,1105,285,8,0
10035,charizard-mega-y,6,17,1005,285,9,0
10036,blastoise-mega,9,16,1011,284,13,0
10037,alakazam-mega,65,12,480,270,106,0
10038,gengar-mega,94,14,405,270,150,0
10039,kangaskhan-mega,115,22,1000,207,185,0
10040,pinsir-mega,127,17,590,210,208,0
10041,gyarados-mega,130,65,3050,224,212,0
10042,aerodactyl-mega,142,21,790,215,233,0
10043,mewtwo-mega-x,150,23,1270,351,246,0
10044,mewtwo-mega-y,150,15,330,351,247,0
10045,ampharos-mega,181,14,615,275,276,0
10046,scizor-mega,212,20,1250,210,198,0
10047,heracross-mega,214,17,625,210,311,0
10048,houndoom-mega,229,19,495,210,331,0
10049,tyranitar-mega,248,25,2550,315,343,0
10050,blaziken-mega,257,19,520,284,354,0
10051,gardevoir-mega,282,16,484,278,383,0
10052,mawile-mega,303,10,235,168,408,0
10053,aggron-mega,306,22,3950,284,412,0
10054,medicham-mega,308,13,315,179,415,0
10055,manectric-mega,310,18,440,201,418,0
10056,banette-mega,354,12,130,194,471,0
10057,absol-mega,359,12,490,198,479,0
10058,garchomp-mega,445,19,950,315,571,0
10059,lucario-mega,448,13,575,219,574,0
10060,abomasnow-mega,460,27,1850,208,586,0
10061,floette-eternal,670,2,9,243,803,0
10062,latias-mega,380,18,520,315,504,0
10063,latios-mega,381,23,700,315,506,0
10064,swampert-mega,260,19,1020,286,358,0
10065,sceptile-mega,254,19,552,284,350,0
10066,sableye-mega,302,5,1610,168,406,0
10067,altaria-mega,334,15,206,207,447,0
10068,gallade-mega,475,16,564,278,385,0
10069,audino-mega,531,15,320,425,647,0
10070,sharpedo-mega,319,25,1303,196,430,0
10071,slowbro-mega,80,20,1200,207,128,0
10072,steelix-mega,208,105,7400,214,153,0
10073,pidgeot-mega,18,22,505,261,24,0
10074,glalie-mega,362,21,3502,203,482,0
10075,diancie-mega,719,11,278,315,864,0
10076,metagross-mega,376,25,9429,315,499,0
10077,kyogre-primal,382,98,4300,347,508,0
10078,groudon-primal,383,50,9997,347,510,0
10079,rayquaza-mega,384,108,3920,351,512,0
10080,pikachu-rock-star,25,4,60,112,37,0
